PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=318 ttl=64 time=9.73 ms
64 bytes from 10.0.0.2: icmp_seq=323 ttl=64 time=10.1 ms
64 bytes from 10.0.0.2: icmp_seq=325 ttl=64 time=9.15 ms
64 bytes from 10.0.0.2: icmp_seq=326 ttl=64 time=9.65 ms
64 bytes from 10.0.0.2: icmp_seq=327 ttl=64 time=10.0 ms
64 bytes from 10.0.0.2: icmp_seq=330 ttl=64 time=9.68 ms
64 bytes from 10.0.0.2: icmp_seq=331 ttl=64 time=9.82 ms
64 bytes from 10.0.0.2: icmp_seq=332 ttl=64 time=7.79 ms
64 bytes from 10.0.0.2: icmp_seq=333 ttl=64 time=11.0 ms
64 bytes from 10.0.0.2: icmp_seq=334 ttl=64 time=8.70 ms
64 bytes from 10.0.0.2: icmp_seq=335 ttl=64 time=5.22 ms
64 bytes from 10.0.0.2: icmp_seq=336 ttl=64 time=7.99 ms
64 bytes from 10.0.0.2: icmp_seq=337 ttl=64 time=100 ms
64 bytes from 10.0.0.2: icmp_seq=338 ttl=64 time=9.11 ms
64 bytes from 10.0.0.2: icmp_seq=345 ttl=64 time=11.6 ms
64 bytes from 10.0.0.2: icmp_seq=347 ttl=64 time=16.7 ms
64 bytes from 10.0.0.2: icmp_seq=348 ttl=64 time=9.89 ms
64 bytes from 10.0.0.2: icmp_seq=349 ttl=64 time=7.60 ms
64 bytes from 10.0.0.2: icmp_seq=351 ttl=64 time=9.79 ms
64 bytes from 10.0.0.2: icmp_seq=352 ttl=64 time=6.20 ms
64 bytes from 10.0.0.2: icmp_seq=353 ttl=64 time=19.5 ms
64 bytes from 10.0.0.2: icmp_seq=354 ttl=64 time=14.4 ms
64 bytes from 10.0.0.2: icmp_seq=355 ttl=64 time=15.6 ms
64 bytes from 10.0.0.2: icmp_seq=356 ttl=64 time=11.5 ms
64 bytes from 10.0.0.2: icmp_seq=357 ttl=64 time=9.96 ms
64 bytes from 10.0.0.2: icmp_seq=358 ttl=64 time=11.1 ms
64 bytes from 10.0.0.2: icmp_seq=359 ttl=64 time=8.31 ms
64 bytes from 10.0.0.2: icmp_seq=360 ttl=64 time=13.3 ms
64 bytes from 10.0.0.2: icmp_seq=362 ttl=64 time=9.00 ms
64 bytes from 10.0.0.2: icmp_seq=364 ttl=64 time=9.73 ms
64 bytes from 10.0.0.2: icmp_seq=366 ttl=64 time=11.0 ms
64 bytes from 10.0.0.2: icmp_seq=367 ttl=64 time=10.3 ms
64 bytes from 10.0.0.2: icmp_seq=368 ttl=64 time=7.56 ms
64 bytes from 10.0.0.2: icmp_seq=369 ttl=64 time=11.8 ms
64 bytes from 10.0.0.2: icmp_seq=370 ttl=64 time=12.0 ms
64 bytes from 10.0.0.2: icmp_seq=371 ttl=64 time=10.8 ms
64 bytes from 10.0.0.2: icmp_seq=372 ttl=64 time=12.9 ms
64 bytes from 10.0.0.2: icmp_seq=373 ttl=64 time=11.2 ms
64 bytes from 10.0.0.2: icmp_seq=374 ttl=64 time=13.1 ms
64 bytes from 10.0.0.2: icmp_seq=375 ttl=64 time=4.40 ms
64 bytes from 10.0.0.2: icmp_seq=376 ttl=64 time=6.91 ms
64 bytes from 10.0.0.2: icmp_seq=377 ttl=64 time=0.063 ms
64 bytes from 10.0.0.2: icmp_seq=378 ttl=64 time=0.047 ms
64 bytes from 10.0.0.2: icmp_seq=381 ttl=64 time=8.51 ms
64 bytes from 10.0.0.2: icmp_seq=383 ttl=64 time=8.92 ms
64 bytes from 10.0.0.2: icmp_seq=384 ttl=64 time=4.93 ms
64 bytes from 10.0.0.2: icmp_seq=385 ttl=64 time=7.36 ms
64 bytes from 10.0.0.2: icmp_seq=387 ttl=64 time=7.73 ms
64 bytes from 10.0.0.2: icmp_seq=388 ttl=64 time=7.53 ms
64 bytes from 10.0.0.2: icmp_seq=391 ttl=64 time=11.3 ms
64 bytes from 10.0.0.2: icmp_seq=396 ttl=64 time=6.48 ms
64 bytes from 10.0.0.2: icmp_seq=398 ttl=64 time=10.3 ms
64 bytes from 10.0.0.2: icmp_seq=399 ttl=64 time=8.37 ms
64 bytes from 10.0.0.2: icmp_seq=400 ttl=64 time=17.4 ms
64 bytes from 10.0.0.2: icmp_seq=401 ttl=64 time=15.7 ms
64 bytes from 10.0.0.2: icmp_seq=402 ttl=64 time=15.5 ms
64 bytes from 10.0.0.2: icmp_seq=403 ttl=64 time=10.2 ms
64 bytes from 10.0.0.2: icmp_seq=406 ttl=64 time=13.5 ms
64 bytes from 10.0.0.2: icmp_seq=407 ttl=64 time=12.1 ms
64 bytes from 10.0.0.2: icmp_seq=408 ttl=64 time=8.24 ms
64 bytes from 10.0.0.2: icmp_seq=411 ttl=64 time=9.29 ms
64 bytes from 10.0.0.2: icmp_seq=414 ttl=64 time=12.0 ms
64 bytes from 10.0.0.2: icmp_seq=415 ttl=64 time=13.0 ms
64 bytes from 10.0.0.2: icmp_seq=416 ttl=64 time=11.7 ms
64 bytes from 10.0.0.2: icmp_seq=417 ttl=64 time=13.4 ms
64 bytes from 10.0.0.2: icmp_seq=419 ttl=64 time=8.08 ms
64 bytes from 10.0.0.2: icmp_seq=421 ttl=64 time=8.42 ms
64 bytes from 10.0.0.2: icmp_seq=424 ttl=64 time=11.8 ms
